[2022-03-12 19:08:59,331] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
2022-03-13 22:04:19,507 : INFO : Initialized PRRT driver.
2022-03-13 22:04:19,507 : INFO : getting drones.................
2022-03-13 22:04:19,507 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:04:19,507 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 22:04:24,513 : INFO : Looking for devices....
2022-03-13 22:04:24,513 : INFO : Initialized PRRT driver.
2022-03-13 22:04:24,513 : INFO : Looking for devices....
2022-03-13 22:04:24,514 : INFO : Initialized PRRT driver.
2022-03-13 22:04:24,514 : INFO : Looking for devices....
2022-03-13 22:04:24,514 : INFO : Initialized PRRT driver.
2022-03-13 22:04:24,515 : INFO : Looking for devices....
2022-03-13 22:04:24,515 : INFO : Initialized PRRT driver.
2022-03-13 22:04:24,515 : INFO : getting drones.................
2022-03-13 22:04:24,515 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:04:29,520 : INFO : Looking for devices....
2022-03-13 22:04:29,521 : INFO : Initialized PRRT driver.
2022-03-13 22:04:29,521 : INFO : Looking for devices....
2022-03-13 22:04:29,521 : INFO : Initialized PRRT driver.
2022-03-13 22:04:29,522 : INFO : Looking for devices....
2022-03-13 22:04:29,522 : INFO : Initialized PRRT driver.
2022-03-13 22:04:29,522 : INFO : Looking for devices....
2022-03-13 22:04:29,523 : INFO : Initialized PRRT driver.
2022-03-13 22:04:29,523 : INFO : getting drones.................
2022-03-13 22:04:29,523 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:04:34,528 : INFO : Looking for devices....
2022-03-13 22:04:34,528 : INFO : Initialized PRRT driver.
2022-03-13 22:04:34,529 : INFO : Looking for devices....
2022-03-13 22:04:34,530 : INFO : Initialized PRRT driver.
2022-03-13 22:04:34,531 : INFO : Looking for devices....
2022-03-13 22:04:34,533 : INFO : Initialized PRRT driver.
2022-03-13 22:04:34,534 : INFO : Looking for devices....
2022-03-13 22:04:34,535 : INFO : Initialized PRRT driver.
2022-03-13 22:04:34,535 : INFO : getting drones.................
2022-03-13 22:04:34,535 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 22:04:39,540 : INFO : Looking for devices....
2022-03-13 22:04:39,541 : INFO : Initialized PRRT driver.
2022-03-13 22:04:39,541 : INFO : Looking for devices....
2022-03-13 22:04:39,542 : INFO : Initialized PRRT driver.
2022-03-13 22:04:39,542 : INFO : Looking for devices....
2022-03-13 22:04:39,542 : INFO : Initialized PRRT driver.
